x,l,P_reference,P_forward,P_backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0.1,0,1.0,1.00000000000000000e+00,1.00000000000000000e+00,0.0,0.0,0.0,0.0
0.1,1,0.1,1.00000000000000006e-01,2.58436372806508441e+00,5.55111512312578270211815834045e-18,5.55111512312578270211815834045e-17,2.48436372806508440902462098165,24.8436372806508440902462098165
0.1,2,-0.485,-4.84999999999999987e-01,-1.12345440790237255e-01,1.33226762955018784850835800171e-17,2.74694356608286154331620206538e-17,0.372654559209762744620419994135,0.768359915896418030145195864196
0.1,3,-0.1475,-1.47499999999999992e-01,-1.74163339217509572e+00,7.77156117237609578296542167664e-18,5.26885503211938697150198079772e-17,1.59413339217509571810182933405,10.8076840147464116481479954851
0.1,4,0.3379375,3.37937500000000002e-01,-2.20526763037963841e-01,1.77635683940025046467781066895e-18,5.25646558727649480947752371058e-18,0.558464263037963841052047087032,1.65256671141250628016141176115
0.1,5,0.17882875,1.78828750000000009e-01,1.35361189639324331e+00,8.53539461331820348277688026428e-18,4.77294317234684215081572748469e-17,1.17478314639324330791225747816,6.56931923079059327939303651211
0.1,6,-0.2488293125,-2.48829312499999983e-01,4.31934483537064484e-01,1.72004632759126252494752407074e-17,6.91255507765493876428856857747e-17,0.680763796037064484170997502588,2.73586656329753948972952092446
0.1,7,-0.19949294375,-1.99492943750000012e-01,-1.08002236425161069e+00,1.24483534591490752063691616058e-17,6.23999687665598207724535700819e-17,0.880529420501610689223070949083,4.41383742176400005738584399972
0.1,8,0.180320721484375,1.80320721484374974e-01,-5.80446866392108518e-01,2.6058089019898034166544675827e-17,1.44509675900758847909190696232e-16,0.760767587876483518084569368511,4.21896929878025645199079838184
0.1,9,0.2113876418359375,2.11387641835937501e-01,8.50379915682922483e-01,9.00399754755198955535888671875e-19,4.25947206248707098396827641978e-18,0.638992273846984982567107635987,3.02284593506615984575342150645
0.1,10,-0.122124997387109375,-1.22124997387109330e-01,6.83974363732652968e-01,4.52727050515022710897028446198e-17,3.70707930563943070406392272822e-16,0.806099361119762342939884547377,6.60060903473025022785551501859
0.1,11,-0.2154853557156640625,-2.15485355715664073e-01,-6.42495726635513797e-01,1.05951835394080262631177902222e-17,4.91689261398742983396384716404e-17,0.427010370919849734975596220465,1.98162130090777902020951794617
0.1,12,0.0706465544260146484375,7.06465544260145989e-02,-7.50121514360072017e-01,4.95444311923165514599531888962e-17,7.01300036425732286854910214491e-16,0.820768068786086665428909782349,11.6179490345229038619752400527
0.1,13,0.21249543497330810546875,2.12495434973308112e-01,4.48818841055845075e-01,6.12376595654495758935809135437e-18,2.88183412378443504644897681123e-17,0.236323406082536969248006926136,1.11213403766637120315554506461
0.1,14,-0.0246191095078756103515625,-2.46191095078755647e-02,7.83099325537979896e-01,4.56996494193617763812653720379e-17,1.85626736030978447628830914699e-15,0.807718435045855505979944609862,32.8085967036081374982620328931
0.1,15,-0.20308876714661018310546875,-2.03088767146610200e-01,-2.67498382048112604e-01,1.64710597937300917692482471466e-17,8.1102761246463232959335252695e-17,0.0644096149015024208981514129846,0.317150061061747410057288054704
0.1,16,-0.0162680334710223382720947265625,-1.62680334710223820e-02,-7.85983429213677920e-01,4.37361805600176012376323342323e-17,2.68847372596837124985665265955e-15,0.76971539574265558163906819027,47.3145938083863594091891570012
0.1,17,0.18798445669949348314056396484375,1.87984456699493485e-01,9.91899291979214670e-02,1.99171563726849853992462158203e-18,1.05951080862626720605771269138e-17,0.0887945275015720161327049005195,0.472350369070759824996744392547
0.1,18,0.0519167870808670523120880126953125,5.19167870808670967e-02,7.61604613823625098e-01,4.43921295321160869207233190536e-17,8.55063112109954984378960358752e-16,0.709687826742758046100063133781,13.6697177665738109790781129738
0.1,19,-0.16798042675745655805133819580078125,-1.67980426757456558e-01,5.43430708202540316e-02,1.11164670888683758676052093506e-19,6.61771570858026889381169807985e-19,0.222323497577710589678954538149,1.32350835075993026568544685038
0.1,20,-0.08207713094452772851649456024169921875,-8.20771309445277736e-02,-7.12927484322494309e-01,4.50651813843280251603573560715e-17,5.49058926228617457115468731324e-16,0.630850353377966580715859665727,7.68606731397970274323354676539
0.1,21,0.143956776108407974957577915191650390625,1.43956776108407958e-01,-1.90945909625109905e-01,1.7164899271009489893913269043e-17,1.1923648010902456265222553367e-16,0.334902685733517880240802435836,2.32641140477691950346764147899
0.1,22,0.1064833585046016632347259454727172851562,1.06483358504601680e-01,6.43200443608382244e-01,1.68265374346665630582720041275e-17,1.58020348634471428975657080642e-16,0.53671708510378058083034329877,5.04038464452251877576501139586
0.1,23,-0.1168640852658377375874107556343078613281,-1.16864085265837719e-01,3.08487478608266918e-01,1.82022927347248769365251064301e-17,1.55756087880370012043833778609e-16,0.425351563874104656054661872088,3.63971157525883136309280328978
0.1,24,-0.1249324352648031508774803040564060211182,-1.24932435264803174e-01,-5.55988293897247354e-01,2.29691569035326770972460508347e-17,1.83852630862817339209451405524e-16,0.431055858632444203402986120769,3.45031182429759542283119389055
0.1,25,0.08770276454330281051192818581387996673584,8.77027645433027941e-02,-4.05121685067796777e-01,1.63695295040712460409849882126e-17,1.86647816511974043989250023786e-16,0.492824449611099587858344278583,5.61925786692584735147308316829
0.1,26,0.1373305761842662732903015903484976291656,1.37330576184266279e-01,4.55137952060977791e-01,5.3706265607633775658905506134e-18,3.91072892140001154873241167935e-17,0.317807375876711517378925670529,2.31417783793673589085737054968
0.1,27,-0.05749703053145414166190868156717932224274,-5.74970305314541283e-02,4.79459072506885076e-01,1.33737373913163495520129799843e-17,2.32598749321500273661467169986e-16,0.536956103038339217277110367218,9.3388492949143474217448234364
0.1,28,-0.1437199723177923984992371674296043664217,-1.43719972317792405e-01,-3.44703564530661866e-01,6.39300774996190398558974266052e-18,4.44823892383289555508995531903e-17,0.200983592212869467139923456257,1.39843884584430779157510481772
0.1,29,0.02726596595411376879613073205283710807562,2.72659659541137564e-02,-5.30678080966122567e-01,1.23985164221630051786080002785e-17,4.54725001968704198968188737257e-16,0.557944046920236336092980597723,20.4630214773687926821762889129
0.1,30,0.1442916132115083597458349724856755187958,1.44291613211508352e-01,2.28846756456302397e-01,8.12397598041024435816705226898e-18,5.63024821720012146814656466836e-17,0.0845551432447940372966998627508,0.586001787372421711312017821671
0.1,31,0.002006447160218965502118431308951852335036,2.00644716021897672e-03,5.58590569140874793e-01,1.1216974255924162850059196353e-17,5.59046581356273727941906379041e-15,0.556584121980655827561626187539,277.397846808941267483233734757
0.1,32,-0.139387481013980614670548063431548262905,-1.39387481013980602e-01,-1.11722777017433217e-01,1.26967917842099869912077346817e-17,9.10899005552478144803138590156e-17,0.0276647039965473977976599391601,0.19847337648474053418516234336
0.1,33,-0.02940075562781457246746521861186433283648,-2.94007556278145787e-02,-5.63669583730948665e-01,6.27348759251927309038081904873e-18,2.1337844754521352499318934421e-16,0.53426882810313409205644239108,18.171942070689138766783237998
0.1,34,0.1294941709045589014292961508394588719371,1.29494170904558892e-01,-2.63925204182530486e-03,9.64116861158205634013443917502e-18,7.44525297489096059060324929442e-17,0.132133422946384206285017263513,1.02038124205428916941456692983
0.1,35,0.05408958487391862525017031067416152950875,5.40895848739186280e-02,5.47044428793247550e-01,2.76612796050305862877019406529e-18,5.11397520789044485226486349131e-17,0.492954843919328924974350781203,9.11367401078032810337385122788
0.1,36,-0.1152294424737427586319210020442920460635,-1.15229442473742755e-01,1.10455257385998429e-01,3.9051922256399489662879326031e-18,3.38905764169589036358598058014e-17,0.225684699859741187430422438221,1.95856801017819538968497151349
0.1,37,-0.0753621617707943958653825540322472161778,-7.53621617707943975e-02,-5.10466920476733033e-01,1.62082359688343021020510166668e-18,2.15071271683127175414402559357e-17,0.435104758705938636742414204352,5.77351748519716299963378421756
0.1,38,0.09732297784861905527343968211570925218464,9.73229778486190550e-02,-2.08298590180458931e-01,2.87671509032948484173424009939e-19,2.95584368041437134176663376331e-18,0.305621568029077986538135047942,3.14028171748358131456216819364
0.1,39,0.09264484812114240432025698988503475529687,9.26448481211424035e-02,4.56252405992982557e-01,7.90497299712239083327219860904e-19,8.53255540641164208503754050792e-18,0.363607557871840152738921826531,3.92474665613771535861886332594
0.1,40,-0.07659254589847795403835293456052215670889,-7.65925458984779428e-02,2.93200975609561543e-01,1.12265867508655229573482791681e-17,1.46575448291615248769229649207e-16,0.369793521508039496739084641206,4.82806149306218620208032075571
0.1,41,-0.1055169157713016487931936186668687727126,-1.05516915771301636e-01,-3.87199227738581786e-01,1.23312728821019342861893361266e-17,1.16865365064582162253877742126e-16,0.281682311967280137202625854434,2.66954648843035762698531173086
0.1,42,0.05391676145085220072830864957253327646547,5.39167614508521895e-02,-3.62737942624339338e-01,1.12649078730690566129728509906e-17,2.08931463425109058876446687438e-16,0.416654704075191538610897201593,7.72773981343432401416440643613
0.1,43,0.1137209984820212315233664071017446814857,1.13720998482021232e-01,3.06490582621245344e-01,6.55407166094195434934667613478e-19,5.76329063974770062373521127732e-18,0.192769584139224112829078865205,1.69510984525606412327974625172
0.1,44,-0.03020563762711499811509054976894891270658,-3.02056376271149889e-02,4.15095445492077886e-01,9.24605350091141350249981422104e-18,3.06103569639973956010431362908e-16,0.445301083119192883889142087506,14.7423169348842014838875466458
0.1,45,-0.1171678690686723926722761734537869179658,-1.17167869068672381e-01,-2.17583026010117864e-01,1.15113535048123537981919188376e-17,9.82466745901602049448479723803e-17,0.10041515694144547102994394665,0.857019571488424753110982845018
0.1,46,0.006370132275983829170899164373331306919727,6.37013227598381970e-03,-4.49115230083382111e-01,9.46794112015566469584432546506e-18,1.48630212214759658366845875024e-15,0.455485362359365940108050474655,71.5032816628629467184975524725
0.1,47,0.1159354086665016951960439618626846676762,1.15935408666501677e-01,1.24086118227446099e-01,1.82185545517707364378566234467e-17,1.57144005971273159862479697115e-16,0.00815070956094440367565845604686,0.0703038843326168791255102177688
