x,l,P_reference,P_forward,P_backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0.10000000000000001,0,1.000000000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.000000000000000000000e+00,0.000000000000000000000e+00,0.000000000000000000000e+00,0.000000000000000000000e+00
0.10000000000000001,1,1.000000000000000055511e-01,1.00000000000000006e-01,2.58436372806508441e+00,0.000000000000000000000e+00,0.000000000000000000000e+00,2.484363728065084403474e+00,2.484363728065084265563e+01
0.10000000000000001,2,-4.849999999999999983325e-01,-4.84999999999999987e-01,-1.12345440790237255e-01,1.165517335421917266558e-17,2.403128526643128392891e-17,3.726545592097627429529e-01,7.683599158964180293589e-01
0.10000000000000001,3,-1.475000000000000079087e-01,-1.47499999999999992e-01,-1.74163339217509572e+00,1.568027391957160787683e-17,1.063069418276041154969e-16,1.594133392175095710152e+00,1.080768401474641101506e+01
0.10000000000000001,4,3.379374999999999959217e-01,3.37937500000000002e-01,-2.20526763037963841e-01,5.854691731421723943640e-18,1.732477671587711933286e-17,5.584642630379638369737e-01,1.652566711412506288061e+00
0.10000000000000001,5,1.788287500000000089691e-01,1.78828750000000009e-01,1.35361189639324331e+00,4.336808689942017736030e-19,2.425118270939106557841e-18,1.174783146393243298943e+00,6.569319230790592899650e+00
0.10000000000000001,6,-2.488293124999999931401e-01,-2.48829312499999983e-01,4.31934483537064484e-01,1.034057822008049853935e-17,4.155691351709416801407e-17,6.807637960370644773247e-01,2.735866563297539537716e+00
0.10000000000000001,7,-1.994929437500000089789e-01,-1.99492943750000012e-01,-1.08002236425161069e+00,3.469446951953614188824e-18,1.739132666417237142409e-17,8.805294205016106802442e-01,4.413837421763999813509e+00
0.10000000000000001,8,1.803207214843749902456e-01,1.80320721484374974e-01,-5.80446866392108518e-01,1.630369016875077292639e-17,9.041495638738062337578e-17,7.607675878764835083437e-01,4.218969298780256626386e+00
0.10000000000000001,9,2.113876418359375080290e-01,2.11387641835937501e-01,8.50379915682922483e-01,7.128629284092191653599e-18,3.372301815838824698035e-17,6.389922738469849745110e-01,3.022845935066159692899e+00
0.10000000000000001,10,-1.221249973871093624566e-01,-1.22124997387109330e-01,6.83974363732652968e-01,3.272935308190616510160e-17,2.679988027198176262079e-16,8.060993611197623304101e-01,6.600609034730250803368e+00
0.10000000000000001,11,-2.154853557156640687042e-01,-2.15485355715664073e-01,-6.42495726635513797e-01,4.391018798566292957730e-18,2.037734204249268560376e-17,4.270103709198497287714e-01,1.981621300907778934395e+00
0.10000000000000001,12,7.064655442601463345879e-02,7.06465544260145989e-02,-7.50121514360072017e-01,3.456572051155348823670e-17,4.892768061003288147028e-16,8.207680687860866504705e-01,1.161794903452290611372e+01
